"字詞名","輕鬆輸入法編碼","分析可能的輕鬆輸入法編碼","查無對映的輕鬆輸入法編碼"
"搏鬥","q;a","",""
"搏擊","q;2q","",""
"膊","b;","",""
"薄","e;","",""
"薄","t;","",""
"薄片","e;,'","",""
"薄片","e;,1","",""
"薄片","e;1'","",""
"薄片","e;1.","",""
"薄片","e;11","",""
"薄片","t;,'","",""
"薄片","t;,1","",""
"薄片","t;1'","",""
"薄片","t;1.","",""
"薄片","t;11","",""
"薄膜","e;bk","",""
"薄膜","t;bk","",""
"薄命","e;o9","",""
"薄命","t;o9","",""
"薄暮","e;ta","",""
"薄暮","t;ta","",""
"薄利多銷","e,,c","",""
"薄利多銷","t,,c","",""
"薄情","e;pb","",""
"薄情","t;pb","",""
"薄懲","e;,p","",""
"薄懲","t;,p","",""
"薄紗","e;3,","",""
"薄紗","t;3,","",""
"薄弱","e;nn","",""
"薄弱","t;nn","",""
"礴","m;x","",""
"駁","mx","",""
"駁回","mxwr","",""
"駁斥","mx,y","",""
"駁船","mx,r","",""
"駁雜","mxy0","",""
"蔔","tn","",""
"跛","rx","",""
"跛腳","rxb9","",""
"簸","hx","",""
"播","qw","",""
"播報","qwgx","",""
"播放","qwyx","",""
"播弄","qwmt","",""
"播遷","qwz'","",""
"播種","qw,g","",""
"播出","qwuu","",""
"播散","qwtx","",""
"播送","qwzk","",""
"播音","qwya","",""
"播揚","qwqn","",""
"播映","qwak","",""
"薄","e;","",""
"薄","t;","",""
"薄荷","e;tb","",""
"薄荷","t;tb","",""
"薄荷腦","etb","",""
"薄荷腦","ttb","",""
"薄荷油","ete","",""
"薄荷油","tte","",""
"擘","sq","",""
"擘劃","sq1b","",""
"擘劃","sq]b","",""
"簸","hx","",""
"簸箕","hxh8","",""
"掰","qq","",""
"掰","qqx","",""
"白",",a","",""
"白白",",a,a","",""
"白報紙",",g3","",""
"白斑",",amg","",""
"白板",",adx","",""
"白璧無瑕",",s,m","",""
"白皮書",",.1","",""
"白皮書",",.]","",""
"白皮書",",`1","",""
"白皮書",",`]","",""
"白馬王子",",mm.","",""
"白忙",",ap'","",""
"白茫茫",",tt","",""
"白米",",atd","",""
"白描",",aqw","",""
"白木耳",",d9","",""
"白髮",",amx","",""
"白費",",a,5","",""
"白費",",an5","",""
"白飯",",aox","",""
"白粉",",atn","",""
"白搭",",aqr","",""
"白帶",",aj1","",""
"白帶",",am1","",""
"白帶魚",",j,","",""
"白帶魚",",m,","",""
"白道",",azw","",""
"白地",",ag'","",""
"白頭",",am5","",""
"白頭偕老",",mog","",""
"白頭翁",",m8","",""
"白糖",",atr","",""
"白鐵",",aci","",""
"白天",",amk","",""
"白內障",",b9","",""
"白內障",",o9","",""
"白蘭地",",tg","",""
"白領階級",",o93","",""
"白露",",a6r","",""
"白骨",",a7b","",""
"白宮",",a7r","",""
"白開水",",ae","",""
"白喉",",ark","",""
"白花花",",tt","",""
"白話",",a4r","",""
"白話文",",4y","",""
"白金",",ac","",""
"白淨",",aeb","",""
"白卷",",at'","",""
"白旗",",ay8","",""
"白皙",",ada","",""
"白血病",",,y","",""
"白血病",",,`","",""
"白血球",",,m","",""
"白癬",",ayj","",""
"白癬",",a`j","",""
"白雪",",a6]","",""
"白熊",",a/f","",""
"白芷",",atm","",""
"白紙",",a3i","",""
"白紙黑字",",3w7","",""
"白晝",",a1m","",""
"白晝",",a]m","",""
"白煮蛋",",g.","",""
"白吃",",ar'","",""
"白痴",",ayr","",""
"白痴",",a`r","",""
"白砂",",am,","",""
"白紗",",a3,","",""
"白手起家",",qg7","",""
"白手成家",",q`7","",""
"白說",",a4-","",""
"白水",",ae","",""
"白日",",aa","",""
"白日夢",",at","",""
"白熱化",",go","",""
"白刃",",amn","",""
"白刃",",any","",""
"白字",",a7b","",""
"白做",",aox","",""
"白菜",",atd","",""
"白色",",a,'","",""
"白矮星",",,a","",""
"白衣天使",",ymo","",""
"白蟻",",ali","",""
"白眼",",aw[","",""
"白雲",",a6/","",""
"白雲蒼狗",",6t,","",""
"百","-6","",""
"百","ma","",""
"百倍","maor","",""
"百寶箱","m7h","",""
"百般","ma,x","",""
"百病","mayb","",""
"百病","ma`b","",""
"百病叢生","-yt,","",""
"百病叢生","-`t,","",""
"百病叢生","myt,","",""
"百病叢生","m`t,","",""
"百步穿楊","m17d","",""
"百步蛇","m1l","",""
"百密一疏","m7m.","",""
"百發百中","m.ml","",""
"百廢待舉","m`,,","",""
"百分比","m8'","",""
"百分比","m81","",""
"百分比","m8`","",""
"百分點","m8w","",""
"百分率","m8y","",""
"百分之百","m8ym","",""
"百毒不侵","mjmo","",""
"百讀不厭","m4m`","",""
"百年","ma,j","",""
"百年大計","m,k4","",""
"百年好合","m,vo","",""
"百年樹人","m,do","",""
"百老匯","mge","",""
"百老匯","mg[","",""
"百里侯","mwo","",""
"百靈鳥","m60","",""
"百感交集","m`y0","",""
"百科全書","m,o1","",""
"百科全書","m,o]","",""
"百口莫辯","mrty","",""
"百看不厭","m,m`","",""
"百看不厭","mmm`","",""
"百孔千瘡","m.,y","",""
"百孔千瘡","m.,`","",""
"百合","maor","",""
"百合花","mot","",""
"百花齊放","mtyy","",""
"百貨","mao5","",""
"百貨公司","mo8m","",""
"百貨公司","mo8n","",""
"百貨業","mot","",""
"百家齊鳴","-7yr","",""
"百家齊鳴","m7yr","",""
"百家爭鳴","m7,r","",""
"百姓","mavg","",""
"百折不撓","mqmq","",""
"百褶裙","myy","",""
"百戰百勝","mrmb","",""
"百戰不殆","mrmm","",""
"百吃不厭","-rm`","",""
"百吃不厭","mrm`","",""
"百尺竿頭","mshm","",""
"百日咳","mar","",""
"百思不解","mwm,","",""
"百依百順","mom,","",""
"百葉窗","mt7","",""
"百無聊賴","m,9d","",""
"百無聊賴","m,9j","",""
"百無禁忌","m,d]","",""
"百無一失","m,m,","",""
"百無一用","m,mb","",""
"百武彗星","mija","",""
"百武彗星","mmja","",""
"百聞不如一見","mamv","",""
"佰","-7","",""
"佰","oa","",""
"擺","q'","",""
"擺不平","qmm","",""
"擺布","q'j1","",""
"擺平","q'mj","",""
"擺明","q'ab","",""
"擺放","q'yx","",""
"擺盪","q'em","",""
"擺地攤","qgq","",""
"擺渡","q'ex","",""
"擺動","q',n","",""
"擺攤","q'q0","",""
"擺脫","q'b-","",""
"擺弄","q'mt","",""
"擺了一道","q.mz","",""
"擺龍門陣","qya9","",""
"擺開","q'at","",""
"擺闊","q'ar","",""
"擺架子","qj.","",""
"擺架子","qn.","",""
"擺出","q'uu","",""
"擺飾","q'o1","",""
"擺設","q'4x","",""
"擺姿勢","qmg","",""
"擺姿勢","qyg","",""
"擺在眼前","qjwt","",""
"擺烏龍","q,y","",""
"襬","y'","",""
"拜",",j","",""
"拜把",",jq'","",""
"拜拜",",j,j","",""
"拜別",",jrb","",""
"拜票",",jmy","",""
"拜碼頭",",mm","",""
"拜佛",",jo1","",""
"拜佛",",jon","",""
"拜訪",",j4n","",""
"拜讀",",j45","",""
"拜堂",",jtg","",""
"拜天地",",mg","",""
"拜託",",j4'","",""
"拜年",",j,j","",""
"拜會",",joa","",""
"拜祭",",j,y","",""
"拜見",",jw-","",""
"拜金主義",",cyt","",""
"拜謝",",j4;","",""
"拜師",",j,1","",""
"拜師",",js1","",""
"拜師學藝",",,,t","",""
"拜師學藝",",s,t","",""
"拜壽",",jg;","",""
"拜神",",jy1","",""
"拜閱",",ja-","",""
"唄","r5x","",""
"敗","5x","",""
"敗北","5x1'","",""
"敗北","5xm'","",""
"敗筆","5xhj","",""
"敗部","5xy9","",""
"敗退","5xz[","",""
"敗類","5xt5","",""
"敗露","5x6r","",""
"敗落","5xtr","",""
"敗壞","5xg[","",""
"敗家子","57.","",""
"敗局","5xsn","",""
"敗血症","5,y","",""
"敗血症","5,`","",""
"敗興","5x,8","",""
"敗絮","5xv3","",""
"敗陣","5x92","",""
"敗仗","5xo.","",""
"敗仗","5xox","",""
"敗訴","5x4y","",""
"敗亡","5xy'","",""
"稗",",j","",""
"稗",",jx","",""
"稗子",",j.b","",""
"稗子",",x.b","",""
"杯","dy","",""
"杯盤狼藉","d,,t","",""
"杯墊","dygg","",""
"杯葛","dyt=","",""
"杯弓蛇影","dnla","",""
"杯觥交錯","d,yc","",""
"杯筊","dyhx","",""
"杯中物","dl,","",""
"杯水車薪","de2t","",""
"杯子","dy.b","",""
"盃","mm","",""
"卑",",j","",""
"卑鄙",",jr9","",""
"卑南文化",",jyo","",""
"卑劣",",j,n","",""
"卑劣",",jbn","",""
"卑躬屈節",",,sh","",""
"卑躬屈膝",",,sb","",""
"卑賤",",j5i","",""
"卑下",",jmy","",""
"卑職",",j9i","",""
"卑微",",j,x","",""
"埤","gj","",""
"碑","mj","",""
"碑帖","mj1r","",""
"碑帖","mjbr","",""
"碑林","mjdd","",""
"碑碣","mjm=","",""
"碑誌","mj4p","",""
"碑文","mjyx","",""
"背","1b","",""
"背","mb","",""
"背包","1b,'","",""
"背包","mb,'","",""
"背負","1b,5","",""
"背負","mb,5","",""
"背帶","1bj1","",""
"背黑鍋","1wc","",""
"背黑鍋","mwc","",""
"揹","qb","",""
"揹黑鍋","qwc","",""
"悲",",p","",""
"悲","1p","",""
"悲不自勝",",m,b","",""
"悲不自勝","1m,b","",""
"悲憫",",ppa","",""
"悲憫","1ppa","",""
"悲鳴",",pr0","",""
"悲鳴","1pr0","",""
"悲憤",",pp5","",""
"悲憤","1pp5","",""
"悲悼",",ppj","",""
"悲悼","1ppj","",""
"悲嘆",",prk","",""
"悲嘆","1pr1","",""
"悲啼",",pr1","",""
"悲啼","1pr1","",""
"悲天憫人",",mpo","",""
"悲天憫人","1mpo","",""
"悲痛",",pyb","",""
"悲痛",",p`b","",""
"悲痛","1pyb","",""
"悲痛","1p`b","",""
"悲痛欲絕",",y83","",""
"悲痛欲絕",",`83","",""
"悲痛欲絕","1y83","",""
"悲痛欲絕","1`83","",""
"悲慟",",ppn","",""
"悲慟","1ppn","",""
"悲憐",",ppj","",""
"悲憐","1ppj","",""
"悲涼",",pey","",""
"悲涼","1pey","",""
"悲歌",",pmo","",""
"悲歌","1pmo","",""
"悲觀",",pt-","",""
"悲觀","1pt-","",""
"悲觀主義",",tyt","",""
"悲觀主義","1tyt","",""
"悲苦",",ptr","",""
"悲苦","1ptr","",""
"悲歡",",pto","",""
"悲歡","1pto","",""
"悲歡離合",",tyo","",""
"悲歡離合","1tyo","",""
"悲劇",",pyb","",""
"悲劇",",p`b","",""
"悲劇","1pyb","",""
"悲劇","1p`b","",""
"悲戚",",pmi","",""
"悲戚",",p`i","",""
"悲戚","1p`i","",""
"悲泣",",pet","",""
"悲泣","1pet","",""
"悲切",",pgn","",""
"悲切",",pjn","",""
"悲切",",pmn","",""
"悲切","1pgn","",""
"悲切","1pjn","",""
"悲切","1pmn","",""
"悲情",",ppb","",""
"悲情","1ppb","",""
"悲喜",",pgr","",""
"悲喜交集",",gy0","",""
"悲喜交集","1gy0","",""
"悲喜交加",",gyj","",""
"悲喜交加",",gyn","",""
"悲喜交加","1gyj","",""
"悲喜交加","1gyn","",""
"悲壯",",p'g","",""
"悲壯",",p1g","",""
"悲壯","1p'g","",""
"悲壯","1p1g","",""
"悲愁",",p,p","",""
"悲愁","1p,p","",""
"悲愴",",ppr","",""
"悲愴","1ppr","",""
"悲傷",",pon","",""
"悲傷","1pon","",""
"悲慘",",pp,","",""
"悲慘","1pp,","",""
"悲從中來",",,ld","",""
"悲從中來",",,lj","",""
"悲從中來",",,lm","",""
"悲從中來","1,ld","",""
"悲從中來","1,lj","",""
"悲從中來","1,lm","",""
"悲思",",pwp","",""
"悲思","1pwp","",""
"悲哀",",py[","",""
"悲哀","1py[","",""
"北","1'","",""
"北","m'","",""
"北邊","1'zn","",""
"北邊","m'zn","",""
"北部","1'y9","",""
"北部","m'y9","",""
"北面","1'mw","",""
"北面","m'mw","",""
"北伐","1'oi","",""
"北伐","m'oi","",""
"北方","1'yn","",""
"北方","m'yn","",""
"北風","1','","",""
"北風","1'-'","",""
"北風","1'-l","",""
"北風","m','","",""
"北風","m'-'","",""
"北風","m'-l","",""
"北斗","1'yj","",""
"北斗","m'yj","",""
"北斗七星","1yja","",""
"北斗七星","1yma","",""
"北斗七星","myja","",""
"北斗七星","myma","",""
"北管","1'hr","",""
"北管","1'h]","",""
"北管","m'hr","",""
"北管","m'h]","",""
"北海","1'e=","",""
"北海","m'e=","",""
"北極","1'dm","",""
"北極","m'dm","",""
"北極星","1da","",""
"北極星","mda","",""
"北京人","1yo","",""
"北京人","myo","",""
"北區","1[","",""
"北區","1'[r","",""
"北區","m'[r","",""
"北上","1'ym","",""
"北上","m'ym","",""
"北二高","1my","",""
"北二高","mmy","",""
"北緯","1'3j","",""
"北緯","m'3j","",""
"貝","5","",""
"貝殼","5gx","",""
"狽",",5","",""
"背","1b","",""
"背","mb","",""
"背部","1by9","",""
"背叛","1btx","",""
"背叛","mbtx","",""
"背面","1bmw","",""
"背道而馳","1zmm","",""
"背離","1by0","",""
"背離","mby0","",""
"背後","1b,x","",""
"背後","mb,x","",""
"背脊","1bob","",""
"背脊","1byb","",""
"背脊","mbob","",""
"背脊","mbyb","",""
"背景","1bay","",""
"背景","mbay","",""
"背棄","1bjd","",""
"背棄","1bmd","",""
"背棄","1byd","",""
"背棄","mbjd","",""
"背心","1bp","",""
"背心","mbp","",""
"背信","1bo4","",""
"背信棄義","1ojt","",""
"背信棄義","1omt","",""
"背信忘義","1oyt","",""
"背信忘義","moyt","",""
"背書","1b1a","",""
"背書","1b]a","",""
"背書","mb1a","",""
"背書","mb]a","",""
"背水一戰","1emr","",""
"背水一戰","memr","",""
"背誦","1b4b","",""
"背影","1ba,","",""
"背影","mba,","",""
"悖","pb","",""
"悖逆","pbz,","",""
"被","yx","",""
"被保險人","yo9o","",""
"被迫","yxza","",""
"被騙","yxmb","",""
"被俘","yxob","",""
"被逮","yxze","",""
"被單","yxrj","",""
"被動","yx,n","",""
"被告","yx,r","",""
"被害人","y7o","",""
"被囚","yxwo","",""
"被選舉權","yz,d","",""
"被乘數","y,1","",""
"被乘數","y,w","",""
"被褥","yxy;","",""
"被窩","yx7b","",""
"倍","or","",""
"倍率","oryj","",""
"倍感親切","o`yg","",""
"倍感親切","o`yj","",""
"倍受矚目","o,wa","",""
"倍受矚目","o,ww","",""
"倍數","or1x","",""
"倍數","orwx","",""
"倍增","orga","",""
"焙","fr","",""
"蓓","tr","",""
"蓓蕾","tr","",""
"蓓蕾","trtw","",""
"備","ob","",""
"備份","obon","",""
"備胎","obbr","",""
"備妥","ob,v","",""
"備取","ob9x","",""
"備詢","ob4n","",""
"備戰","obri","",""
"備注","obeg","",""
"備查","obdm","",""
"備受好評","o,v4","",""
"備受矚目","o,wa","",""
"備受矚目","o,ww","",""
"備受威脅","o,`j","",""
"備受威脅","o,`n","",""
"備而不用","ommb","",""
"備忘錄","oyc","",""
"備用","obb1","",""
"備用","obbj","",""
"憊","op","",""
"輩",",2","",""
"輩","12","",""
"輩分",",28n","",""
"輩分","128n","",""
"輩出",",2uu","",""
"輩出","12uu","",""
"包",",'","",""
"包班制",",m,","",""
"包辦",",'yj","",""
"包庇",",'`'","",""
"包飯",",'ox","",""
"包袱",",'yk","",""
"包打聽",",q9","",""
"包攬",",'q-","",""
"包括",",'qr","",""
"包裹",",'y[","",""
"包裹表決",",yje","",""
"包工",",'mm","",""
"包含",",'or","",""
"包涵",",'e1","",""
"包涵",",'em","",""
"包換",",'qk","",""
"包機",",'di","",""
"包銷",",'cb","",""
"包廂",",'yw","",""
"包廂",",'`w","",""
"包裝",",''[","",""
"包種茶",",,t","",""
"包車",",'2","",""
"包車",".'2","",""
"包紮",",'d3","",""
"包抄",",'q,","",""
"包商",",'yb","",""
"包容",",'7r","",""
"包子",",'.b","",""
"包租",",',m","",""
"包圍",",'wj","",""
"孢",".'","",""
"孢",".'x","",""
"孢子",".'.b","",""
"孢子",".x.b","",""
"炮","f'","",""
"苞","t'","",""
"胞","b'","",""
"胞妹","b'vd","",""
"胞弟","b't1","",""
"胞弟","b'tn","",""
"胞兄","b'r-","",""
"胞姊","b'v1","",""
"胞姊","b'vn","",""
"煲","of","",""
"煲","ofx","",""
"褒","y[","",""
"褒貶","y[5.","",""
"褒獎","y['k","",""
"褒獎","y[1k","",""
"褒揚","y[qn","",""
"雹","6'","",""
"保","od","",""
"保本","oddm","",""
"保鏢","odcy","",""
"保鑣","odcf","",""
"保密","od7u","",""
"保母","od=y","",""
"保姆","odv=","",""
"保費","odn5","",""
"保防","od9n","",""
"保單","odrj","",""
"保麗龍","omy","",""
"保麗龍餐具","omyy","",""
"保留","od,w","",""
"保留","od[w","",""
"保留地","o,g","",""
"保留地","o[g","",""
"保齡球","o1m","",""
"保管","odhr","",""
"保管","odh]","",""
"保護","od4x","",""
"保護","odtx","",""
"保護級","o43","",""
"保護級","ot3","",""
"保護色","o4,","",""
"保護色","ot,","",""
"保甲法","oae","",""
"保甲法","owe","",""
"保健","odoj","",""
"保健","odoz","",""
"保警","odt4","",""
"保舉","od,j","",""
"保全","odog","",""
"保全業","oot","",""
"保鮮膜","o,b","",""
"保險","od9o","",""
"保險法","o9e","",""
"保險費","o9,","",""
"保險費","o9n","",""
"保險單","o9r","",""
"保險套","o9k","",""
"保險桿","o9d","",""
"保險櫃","o9d","",""
"保險公司","o98m","",""
"保險公司","o98n","",""
"保險給付","o93o","",""
"保險金","o9c","",""
"保險箱","o9h","",""
"保險人","o9o","",""
"保險絲","o93","",""
"保險業","o9t","",""
"保值","odom","",""
"保障","od9j","",""
"保證","od4t","",""
"保證金","o4c","",""
"保證書","o41","",""
"保證書","o4]","",""
"保證人","o4o","",""
"保住","odog","",""
"保重","od,g","",""
"保持","odq;","",""
"保釋","od,j","",""
"保守","od7;","",""
"保存","odjb","",""
"保送","odzk","",""
"保安","od7v","",""
"保安警察","o7t7","",""
"保有","odjb","",""
"保佑","odor","",""
"保養","odt[","",""
"保養品","otr","",""
"保衛","od,b","",""
"保溫","odem","",""
"保育","odjb","",""
"保育","odmb","",""
"保育","odyb","",""
"堡","og","",""
"堡壘","ogwg","",""
"葆","td","",""
"褓","yd","",""
"飽","o'","",""
"飽滿","o'eb","",""
"飽啖一頓","or1j","",""
"飽啖一頓","ormj","",""
"飽讀詩書","o441","",""
"飽讀詩書","o44]","",""
"飽覽","o'[-","",""
"飽和","o',r","",""
"飽和點","o,w","",""
"飽和脂肪","o,bb","",""
"飽和狀態","o,'/","",""
"飽經風霜","o3,6","",""
"飽經風霜","o3-6","",""
"飽經世故","o3'j","",""
"飽經世故","o3mj","",""
"飽經世故","o3tj","",""
"飽學","o',b","",""
"飽嚐","o'ra","",""
"飽食終日","oo3a","",""
"飽受","o',x","",""
"飽足","o'ro","",""
"飽餐","o'y[","",""
"飽以老拳","o1gt","",""
"鴇","'0","",""
"鴇","'0x","",""
"寶","75","",""
"寶貝","755","",""
"寶寶","7575","",""
"寶刀未老","7mjg","",""
"寶刀未老","7mmg","",""
"寶刀未老","7njg","",""
"寶刀未老","7nmg","",""
"寶島","75,n","",""
"寶地","75g'","",""
"寶典","7518","",""
"寶典","75w8","",""
"寶典","tt71","",""
"寶塔","75gr","",""
"寶特瓶","7,t","",""
"寶藍色","7t,","",""
"寶裡寶氣","7y7,","",""
"寶貴","75l5","",""
"寶庫","75`2","",""
"寶號","75r-","",""
"寶劍","75ob","",""
"寶剎","75xb","",""
"寶石","75mr","",""
"寶山","75u","",""
"寶藏","75ti","",""
"寶座","75`g","",""
"寶物","75,n","",""
"寶玉","75mg","",""
"寶玉","75my","",""
"刨",",b","",""
"刨冰",",bye","",""
"抱","q'","",""
"抱病","q'yb","",""
"抱病","q'`b","",""
"抱不平","qmm","",""
"抱負","q',5","",""
"抱頭痛哭","qmyr","",""
"抱頭痛哭","qm`r","",""
"抱頭鼠竄","qm,7","",""
"抱憾","q'pp","",""
"抱歉","q'to","",""
"抱屈","q'su","",""
"抱薪救火","qtjf","",""
"抱持","q'q;","",""
"抱殘守缺","qm7,","",""
"抱怨","q',p","",""
"鉋","c'","",""
"鮑",",'","",""
"鮑魚",",',f","",""
"鮑魚菇",",,t","",""
"鮑魚之肆",",,ym","",""
"趵","rnx","",""
"豹",",n","",""
"豹死留皮",",m,.","",""
"豹死留皮",",m,`","",""
"豹死留皮",",m[.","",""
"豹死留皮",",m[`","",""
"報","gx","",""
"報備","gxob","",""
"報表","gxj[","",""
"報名","gx,r","",""
"報名費","g,,","",""
"報名費","g,n","",""
"報費","gxn5","",""
"報廢","gx`x","",""
"報復","gx,x","",""
"報復關稅","g,a,","",""
"報答","gxhr","",""
"報導","gxz;","",""
"報導文學","gzy,","",""
"報到","gxmb","",""
"報告","gx,r","",""
"報告書","g,1","",""
"報告書","g,]","",""
"報國","gxwi","",""
"報關","gxa1","",""
"報關行","ga,","",""
"報館","gxor","",""
"報館","gxo]","",""
"報考","gxgn","",""
"報刊","gxmb","",""
"報戶口","gsr","",""
"報價","gjo5","",""
"報價","gxo5","",""
"報界","gxw1","",""
"報禁","gxdy","",""
"報警","gxt4","",""
"報喜","gxgr","",""
"報銷","gxcb","",""
"報效","gxyx","",""
"報紙","gx3i","",""
"報章","gxyj","",""
"報仇","gxo'","",""
"報酬","gxm1","",""
"報償","gxo5","",""
"報時","gxa;","",""
"報社","gxyg","",""
"報梢","gxdb","",""
"報數","gx1x","",""
"報數","gxwx","",""
"報稅","gx,-","",""
