¶r¿Wß«∏π,¶r,≥°≠∫,µßµe,•X≤{¿W¶∏,≤÷øn¿W¶∏,≤÷øn¶ §¿§Ò
151,¥¡,§Î,12,1503,471510,46.87649127
152,§∆,§P,04,1483,472993,47.02392788
153,¶°,§|,06,1461,474454,47.16917730
154,•ÿ,•ÿ,05,1457,475911,47.31402905
155,´‹,…L,09,1448,477359,47.45798603
156,§≠,§G,04,1443,478802,47.60144593
157,¬I,∂¬,17,1438,480240,47.74440874
158,•q,§f,05,1430,481670,47.88657621
159,§∏,§I,04,1428,483098,48.02854484
160,ßÛ,§Í,07,1413,484511,48.16902221
161,¥£,§‚,12,1408,485919,48.30900248
162,™—,¶◊,08,1398,487317,48.44798858
163,¡`,¶Õ,17,1397,488714,48.58687526
164,≤Œ,¶Õ,11,1389,490103,48.72496660
165,¿≥,§ﬂ,17,1386,491489,48.86275968
166,•|,…I,05,1381,492870,49.00005567
167,•N,§H,05,1380,494250,49.13725225
168,§Ù,§Ù,04,1378,495628,49.27424999
169,®S,§Ù,07,1377,497005,49.41114832
170,•ø,§Ó,05,1375,498380,49.54784780
171,±`,§y,11,1374,499754,49.68444787
172,§J,§J,02,1372,501126,49.82084911
173,≥¯,§g,12,1372,502498,49.95725034
174,√ˆ,™˘,19,1364,503862,50.09285623
175,ßÎ,§‚,07,1337,505199,50.22577784
176,±q,…L,11,1333,506532,50.35830178
177,´h,§M,09,1331,507863,50.49062689
178,¶‹,¶‹,06,1327,509190,50.62255432
179,§Â,§Â,04,1324,510514,50.75418350
180,øÔ,∆÷,16,1310,511824,50.88442083
181,¶W,§f,06,1304,513128,51.01406165
182,™´,§˚,08,1298,514426,51.14310597
183,ØS,§˚,10,1285,515711,51.27085786
184,•‹,•‹,05,1273,516984,51.39741673
185,§‚,§‚,04,1269,518253,51.52357793
186,∑Q,§ﬂ,13,1269,519522,51.64973913
187,¶A,∆√,06,1267,520789,51.77570149
188,πD,∆÷,13,1259,522048,51.90086851
189,∆W,§Ù,25,1227,523275,52.02285417
190,≤ƒ,¶À,11,1223,524498,52.14444215
191,®C,§,07,1220,525718,52.26573187
192,º∆,∆“,15,1220,526938,52.38702160
193,®≠,®≠,07,1207,528145,52.50701890
194,ª˘,§H,15,1200,529345,52.62632027
195,´¸,§‚,09,1190,530535,52.74462746
196,•ﬂ,•ﬂ,05,1185,531720,52.86243757
197,¶∏,§Ì,06,1184,532904,52.98014825
198,®¸,§S,08,1171,534075,53.09656651
199,≠p,®•,09,1167,535242,53.21258709
200,∏Ù,®¨,13,1155,536397,53.32741466
201,§µ,§H,04,1150,537547,53.44174514
202,∑P,§ﬂ,13,1150,538697,53.55607562
203,®∫,®∂,07,1143,539840,53.66971018
204,¶ ,•’,06,1125,540965,53.78155521
205,∞›,§f,11,1124,542089,53.89330083
206,≈˝,®•,24,1123,543212,54.00494703
207,≥B, O,11,1120,544332,54.11629498
208,∞µ,§H,11,1117,545449,54.22734467
209,µ{,•›,12,1114,546563,54.33809611
210,¶o,§k,06,1111,547674,54.44854930
211,¶U,§f,06,1103,548777,54.55820714
212,≠Ï,…D,10,1103,549880,54.66786498
213,ºÀ,§Ï,15,1096,550976,54.77682690
214,§÷,§p,04,1092,552068,54.88539115
215,≥Q,¶Á,11,1092,553160,54.99395540
216,∞”,§f,11,1083,554243,55.10162488
217,•Ù,§H,06,1078,555321,55.20879728
218,Æi,§r,10,1076,556397,55.31577085
219,ªÚ,≥¬,14,1074,557471,55.42254557
220,æ…,§o,16,1059,558530,55.52782903
221,´ÿ,∆œ,09,1058,559588,55.63301308
222,∞œ,∆«,11,1054,560642,55.73779945
223,≥],®•,11,1053,561695,55.84248640
224,∂q,®Ω,12,1050,562745,55.94687510
225,∏˚,®Æ,13,1049,563794,56.05116438
226,∏U,…®,13,1044,564838,56.15495657
227,º÷,§Ï,15,1044,565882,56.25874877
228,•_,§P,05,1038,566920,56.36194445
229,¨°,§Ù,09,1028,567948,56.46414596
230,§~,§‚,03,1021,568969,56.56565154
231,±µ,§‚,11,1013,569982,56.66636179
232,√D,≠∂,18,1012,570994,56.76697261
233,§E,§A,02,1009,572003,56.86728518
234,§v,§v,03,1008,573011,56.96749833
235,∫t,§Ù,14,1007,574018,57.06761206
236,§k,§k,03,1000,575018,57.16702987
237,¶‚,¶‚,06,997,576015,57.26614943
238,´O,§H,09,997,577012,57.36526898
239,≥N,¶Ê,11,995,578007,57.46418971
240,§ª,§K,04,990,578997,57.56261334
241,¶^,…I,06,986,579983,57.66063930
242,ßO,§M,07,981,580964,57.75816817
243,≤y,•…,11,980,581944,57.85559762
244,§˘,§˘,04,977,582921,57.95272882
245,πB,∆÷,13,976,583897,58.04976060
246,≥q,∆÷,11,974,584871,58.14659355
247,ª{,®•,14,969,585840,58.24292941
248,•º,§Ï,05,968,586808,58.33916584
249,π≥,§H,14,965,587773,58.43510403
250,¶Û,§H,07,963,588736,58.53084338
251,Æ,…a,10,961,589697,58.62638390
252,∞Ú,§g,11,961,590658,58.72192441
253,™Ò,∆÷,08,959,591617,58.81726609
254,Ω’,®•,15,957,592574,58.91240893
255,©˙,§È,08,954,593528,59.00725352
256,¿Y,≠∂,16,952,594480,59.10189928
257,∫ﬁ,¶À,14,948,595428,59.19614736
258,§K,§K,02,946,596374,59.29019661
259,≥\,®•,11,942,597316,59.38384819
260,∞»,§O,11,940,598256,59.47730093
261,∞O,®•,10,939,599195,59.57065425
262,≈‹,®•,23,933,600128,59.66341106
263,∏—,®§,13,932,601060,59.75606846
264,µe,•–,12,919,601979,59.84743343
265,∏”,®•,13,917,602896,59.93859956
266,™æ,•⁄,08,916,603812,60.02966627
267,•Ê,∆¬,06,912,604724,60.12033532
268,∆[,®£,25,911,605635,60.21090494
269,πF,∆÷,13,910,606545,60.30137515
270,¶V,§f,06,908,607453,60.39164652
271,¶—,¶—,06,906,608359,60.48171905
272,§C,§@,02,898,609257,60.57099625
273,≥y,∆÷,11,897,610154,60.66017402
274,´¨,§g,09,895,611049,60.74915296
275,ƒ“,∂¬,20,895,611944,60.83813190
276,µ≤,¶Õ,12,894,612838,60.92701142
277,¿Á,§ı,17,893,613731,61.01579152
278,™F,§Ï,08,887,614618,61.10397512
279,Æ¸,§Ù,10,881,615499,61.19156221
280,∞£,™˙,10,881,616380,61.27914930
281,ßY,∆»,07,880,617260,61.36663697
282,•≠,§z,05,877,618137,61.45382639
283,•˝,§I,06,876,619013,61.54091639
284,•¥,§‚,05,875,619888,61.62790698
285,§S,§S,02,870,620758,61.71440047
286,•@,§@,05,866,621624,61.80049629
287,¶w,∆À,06,862,622486,61.88619445
288,≠∑,≠∑,09,858,623344,61.97149493
289,æ‘,§‡,16,853,624197,62.05629832
290,ßΩ,§r,07,851,625048,62.14090287
291,±–,∆“,11,848,625896,62.22520918
292,•B,§@,05,846,626742,62.30931664
293,∞|,™˙,10,846,627588,62.39342411
294,ßÔ,∆“,07,840,628428,62.47693507
295,•≤,§ﬂ,05,839,629267,62.56034661
296,§f,§f,03,831,630098,62.64296281
297,ßi,§f,07,831,630929,62.72557901
298,¥µ,§Á,12,828,631757,62.80789696
299,™≈,•ﬁ,08,826,632583,62.89001607
300,≠µ,≠µ,09,825,633408,62.97203576
301,Øu,•ÿ,10,825,634233,63.05405545
302,™L,§Ï,08,821,635054,63.13567747
303,´H,§H,09,817,635871,63.21690182
304,µ¯,®£,12,817,636688,63.29812617
305,ΩË,®©,15,815,637503,63.37915169
306,§”,§j,04,814,638317,63.46007778
307,≥Ê,§f,12,814,639131,63.54100388
308,¶@,§K,06,813,639944,63.62183056
309,®D,§Ù,07,810,640754,63.70235899
310,¨…,•–,09,809,641563,63.78278799
311,´˘,§‚,09,808,642371,63.86311758
312,≥s,∆÷,11,806,643177,63.94324834
313,§œ,§S,04,802,643979,64.02298142
314,™Ω,•ÿ,08,802,644781,64.10271450
315,´o,∆»,09,800,645581,64.18224875
316,ßπ,∆À,07,799,646380,64.26168358
317,±j,§},11,799,647179,64.34111841
318,´D,´D,08,790,647969,64.41965848
319,ß‚,§‚,07,789,648758,64.49809913
320,∂§,™˙,12,786,649544,64.57624153
321,®£,®£,07,780,650324,64.65378742
322,≤v,•»,11,778,651102,64.73113448
323,∏Ã,¶Á,13,776,651878,64.80828270
324,≤’,¶Õ,11,775,652653,64.88533150
325,•Û,§H,06,772,653425,64.96208205
326,¥X,∆Õ,12,772,654197,65.03883260
327,§h,§h,03,771,654968,65.11548373
328,®„,§K,08,770,655738,65.19203544
329,¨˘,¶Õ,09,770,656508,65.26858715
330,∏‹,®•,13,769,657277,65.34503945
331,æ„,∆“,16,765,658042,65.42109407
332,•\,§O,05,764,658806,65.49704928
333,∞®,∞®,10,758,659564,65.57240798
334,•˙,§I,06,755,660319,65.64746842
335,Æe,∆À,10,751,661070,65.72213120
336,º–,§Ï,15,748,661818,65.79649572
337,ßŒ,∆—,07,746,662564,65.87066141
338,©Ò,∆“,08,745,663309,65.94472767
339,ÆÊ,§Ï,10,745,664054,66.01879394
340,ª›,´B,14,743,664797,66.09266137
341,∂«,§H,13,742,665539,66.16642939
342,©π,…L,08,737,666276,66.23970031
343,±i,§},11,734,667010,66.31267299
344,¶¨,∆“,06,733,667743,66.38554624
345,™A,§Î,08,732,668475,66.45832008
346,•¶,∆À,05,729,669204,66.53079566
347,±Ê,§Î,11,726,669930,66.60297299
348,ƒ±,®£,20,723,670653,66.67485207
349,±M,§o,11,721,671374,66.74653231
350,µπ,¶Õ,12,720,672094,66.81811313
351,¶Ë, P,06,717,672811,66.88939570
352,´K,§H,09,717,673528,66.96067827
353,∏£,¶◊,13,716,674244,67.03186142
354,Æv,§y,10,713,674957,67.10274632
355,ƒ≥,®•,20,711,675668,67.17343238
356,Æ◊,§Ï,10,709,676377,67.24391961
357,µÿ, J,12,708,677085,67.31430742
358,ßJ,§I,07,704,677789,67.38429755
359,•t,§f,05,696,678485,67.45349235
360,©ˆ,§È,08,695,679180,67.52258773
361,√˛,≠∂,19,694,679874,67.59158369
362,¨y,§Ù,09,693,680567,67.66048023
363,§s,§s,03,692,681259,67.72927735
364,πŒ,…I,14,690,681949,67.79787564
365,Ωu,¶Õ,15,690,682639,67.86647393
366,§¥,§H,04,685,683324,67.93457513
367,™˘,™˘,08,677,684001,68.00188098
368,∂O,®©,12,677,684678,68.06918684
369,´n,§Q,09,675,685353,68.13629386
370,Æƒ,∆“,10,673,686026,68.20320205
371,≤º,•‹,11,672,686698,68.27001082
372,¡ˆ,´A,17,671,687369,68.33672017
373,∂H,®®,12,669,688038,68.40323068
374,©≤,∆Œ,08,668,688706,68.46964178
375,øÏ,®Ø,16,668,689374,68.53605287
376,±a,§y,11,664,690038,68.60206630
377,®•,®•,07,662,690700,68.66788089
378,ª⁄,™˙,14,662,691362,68.73369548
379,´»,∆À,09,661,692023,68.79941065
380,ºt,∆Œ,15,655,692678,68.86452932
381,Æ∆,§Ê,10,653,693331,68.92944915
382,√¿, J,19,651,693982,68.99417014
383,§ﬁ,§},04,650,694632,69.05879172
384,®Ó,§M,08,649,695281,69.12331387
385,≈„,≠∂,23,648,695929,69.18773661
386,Æ—,§Í,10,646,696575,69.25196052
387,•],∆∆,05,645,697220,69.31608501
388,¬‡,®Æ,18,642,697862,69.37991124
389,≥∆,§H,12,641,698503,69.44363806
390,™·, J,08,636,699139,69.50686778
391,®t,¶Õ,07,634,699773,69.56989867
392,±¿,§‚,11,632,700405,69.63273073
393,®M,§Ù,07,627,701032,69.69506570
394,∫Î,¶Ã,14,627,701659,69.75740066
395,ºw,…L,15,627,702286,69.81973563
396,æ⁄,§‚,16,623,702909,69.88167292
397,≤M,§Ù,11,622,703531,69.94351080
398,®´,®´,07,620,704151,70.00514984
399,≤≥,•ÿ,11,619,704770,70.06668947
400,∏À,¶Á,13,619,705389,70.12822909
401,≥W,®£,11,614,706003,70.18927163
402,¨d,§Ï,09,613,706616,70.25021474
403,≥∞,™˙,11,612,707228,70.31105844
404,ßC,§H,07,609,707837,70.37160389
405,ºs,∆Œ,15,609,708446,70.43214933
406,®—,§H,08,608,709054,70.49259536
407,√¯,´A,19,608,709662,70.55304139
408,Øf,∆‘,10,606,710268,70.61328858
409,∞],®©,10,605,710873,70.67343636
410,≥Ø,™˙,11,601,711474,70.73318646
411,ßı,§Ï,07,600,712074,70.79283715
412,®‡,§I,08,599,712673,70.85238841
413,™¿,•‹,08,598,713271,70.91184026
414,≥–,§M,12,597,713868,70.97119270
415,πw,≠∂,13,594,714462,71.03024687
416,≈v,§Ï,22,590,715052,71.08890338
417,∞T,®•,10,589,715641,71.14746047
418,ºW,§g,15,588,716229,71.20591814
419,®“,§H,08,586,716815,71.26417698
420,©–,§·,08,586,717401,71.32243582
421,ßﬁ,§‚,07,584,717985,71.38049582
422,∂R,®©,12,584,718569,71.43855582
423,©l,§k,08,582,719151,71.49641698
424,ªı,§H,15,578,719729,71.55388048
425,™v,§Ù,08,576,720305,71.61114513
426,∏q,¶œ,13,575,720880,71.66831037
427,≈T,≠µ,21,575,721455,71.72547561
428,§∞,§H,04,574,722029,71.78254144
429,≤¥,•ÿ,11,574,722603,71.83960726
430,¡|,¶›,17,574,723177,71.89667308
431,Ø´,•‹,10,571,723748,71.95344065
432,≠π,≠π,09,570,724318,72.01010880
433,πC,∆÷,13,570,724888,72.06677695
434,Æ¯,§Ù,10,569,725457,72.12334569
435,¿Ú,§¸,17,568,726025,72.17981500
436,∑R,§ﬂ,13,566,726591,72.23608548
437,æπ,§f,16,566,727157,72.29235596
438,¥ø,§Í,12,565,727722,72.34852703
439,ª»,™˜,14,564,728286,72.40459867
440,ß÷,§ﬂ,07,562,728848,72.46047148
441,•’,•’,05,561,729409,72.51624487
442,®˙,§S,08,561,729970,72.57201826
443,ƒ·,§‚,21,561,730531,72.62779165
444,§d,§Q,03,558,731089,72.68326679
445,§˝,•…,04,558,731647,72.73874193
446,ß∆,§y,07,558,732205,72.79421706
447,∞t,®ª,10,554,732759,72.84929453
448,Ω◊,®•,15,552,733311,72.90417316
449,¶Ì,§H,07,551,733862,72.95895237
450,∑«,§Ù,13,550,734412,73.01363217
451,∂∑,≠∂,12,548,734960,73.06811313
452,∂’,§O,13,547,735507,73.12249467
453,≠»,§H,10,546,736053,73.17677680
454,®»,§G,08,545,736598,73.23095950
455,∂∞,´A,12,545,737143,73.28514221
456,∫°,§Ù,14,545,737688,73.33932491
457,ƒÚ,¶Õ,21,543,738231,73.39330878
458,∞—,∆…,11,542,738773,73.44719324
459,¿Ù,•…,17,542,739315,73.50107769
460,ΩT,•€,15,541,739856,73.55486272
461,¶“,¶—,06,538,740394,73.60834951
462,¨P,§È,09,536,740930,73.66163745
463,ª‚,≠∂,14,535,741465,73.71482598
464,©e,§k,08,534,741999,73.76791509
465,®B,§Ó,07,533,742532,73.82090478
466,§Õ,§S,04,532,743064,73.87379506
467,¥‰,§Ù,12,532,743596,73.92668533
468,∏`,¶À,13,532,744128,73.97957561
469,•˜,§H,06,531,744659,74.03236646
470,¬Â,®ª,18,530,745189,74.08505790
471,≠x,®Æ,09,529,745718,74.13764992
472,§‰,§‰,04,525,746243,74.18984427
473,∂µ,≠∂,12,525,746768,74.24203862
474,øÀ,®£,16,521,747289,74.29383530
475,•¯,§H,06,520,747809,74.34553256
476,ø˙,™˜,16,519,748328,74.39713040
477,§g,§g,03,516,748844,74.44842999
478,•¢,§j,05,513,749357,74.49943133
479,®§,®§,07,511,749868,74.55023383
480,™ß,§ˆ,08,510,750378,74.60093691
481,ª¥,®Æ,14,509,750887,74.65154058
482,¨„,•€,09,507,751394,74.70194541
483,≥t,∆÷,11,507,751901,74.75235024
484,¶C,§M,06,506,752407,74.80265565
485,ªs,¶Á,14,506,752913,74.85296106
486,•d,§R,05,505,753418,74.90316705
487,¶s,§l,06,505,753923,74.95337305
488,¡n,¶’,17,504,754427,75.00347962
489,®k,•–,07,503,754930,75.05348678
490,≠^, J,09,501,755431,75.10329510
491,∫Ù,¶Õ,14,500,755931,75.15300401
492,ßU,§O,07,499,756430,75.20261350
493,±∆,§‚,11,499,756929,75.25222298
494,Ø≈,¶Õ,10,496,757425,75.30153422
495,≥f,®©,11,496,757921,75.35084545
496,ø≥,¶›,16,492,758413,75.39975901
497,ß_,§f,07,489,758902,75.44837432
498,•b,§Q,05,488,759390,75.49689021
499,æP,™˜,15,488,759878,75.54540610
500,∑”,§ı,13,487,760365,75.59382258
501,Ω–,®•,15,487,760852,75.64223905
502,Æ⁄,§Ï,10,486,761338,75.69055610
503,©≥,∆Œ,08,485,761823,75.73877374
504,∑•,§Ï,13,485,762308,75.78699138
505,π“,§g,14,484,762792,75.83510960
506,¥∫,§È,12,482,763274,75.88302898
507,ºˆ,§ı,15,482,763756,75.93094837
508,≠P,¶‹,09,481,764237,75.97876833
509,º@,§M,15,481,764718,76.02658830
510,≠ª,≠ª,09,480,765198,76.07430885
511,¨Ï,•›,09,479,765677,76.12192998
512,≠‘,§H,10,479,766156,76.16955111
513,≤`,§Ù,11,479,766635,76.21717224
514,πœ,…I,14,478,767113,76.26469395
515,™p,§Ù,08,477,767590,76.31211625
516,∫‚,¶À,14,475,768065,76.35933971
517,¡p,¶’,17,475,768540,76.40656317
518,√“,®•,19,474,769014,76.45368721
519,©±,∆Œ,08,473,769487,76.50071183
520,ØÎ,¶‡,10,469,769956,76.54733878
521,•O,§H,05,465,770421,76.59356807
522,≠Y, J,09,465,770886,76.63979735
523,¿∏,§‡,17,465,771351,76.68602663
524,∂W,®´,12,464,771815,76.73215649
525,´ƒ,§l,09,463,772278,76.77818694
526,ƒµ,®•,20,463,772741,76.82421738
527,¶≠,§È,06,453,773194,76.86925365
528,¬æ,¶’,18,452,773646,76.91419050
529,∫∏,§¯,14,451,774097,76.95902793
530,¡…,®©,17,451,774548,77.00386536
531,¥⁄,§Ì,12,450,774998,77.04860338
532,ƒ›,§r,21,450,775448,77.09334139
533,¨q,…_,09,447,775895,77.13778115
534,§¡,§M,04,444,776339,77.18192266
535,≈Á,∞®,23,443,776782,77.22596475
536,©R,§f,08,441,777223,77.26980800
537,™¨,§¸,08,441,777664,77.31365126
538,≠∫,≠∫,09,441,778105,77.35749451
539,∂Ø,´A,12,441,778546,77.40133777
540,∂¿,∂¿,12,439,778985,77.44498218
541,®s,•ﬁ,07,438,779423,77.48852718
542,∂È,…I,13,438,779861,77.53207219
543,¥´,§‚,12,437,780298,77.57551777
544,∏π, O,13,437,780735,77.61896335
545,ΩÊ,®©,15,436,781171,77.66230952
546,¨∆,•Ã,09,435,781606,77.70555626
547,∫A,§ﬂ,14,435,782041,77.74880301
548,¥I,∆À,12,434,782475,77.79195034
549,®˝,§f,08,431,782906,77.83479941
550,©¿,§ﬂ,08,430,783336,77.87754907
551,¿Ÿ,§Ù,17,429,783765,77.92019931
552,ßK,§I,07,427,784192,77.96265072
553,≤ﬂ,¶–,11,427,784619,78.00510212
554,¨Q,§È,09,425,785044,78.04735469
555,®Ã,§H,08,424,785468,78.08950784
556,¨Ÿ,•ÿ,09,424,785892,78.13166099
557,¶r,§l,06,419,786311,78.17331706
558,¿H,™˙,16,419,786730,78.21497312
559,•G,∆¿,05,418,787148,78.25652976
560,¡ ,®©,17,418,787566,78.29808641
561,ß‰,§‚,07,416,787982,78.33944421
562,¨ˆ,¶Õ,09,415,788397,78.38070261
563,≥ﬂ,§f,12,413,788810,78.42176216
564,ª∑,∆÷,14,413,789223,78.46282172
565,≥n,®Æ,11,412,789635,78.50378185
566,¬˜,´A,19,412,790047,78.54474199
567,∏®, J,13,411,790458,78.58560271
568,¨w,§Ù,09,405,790863,78.62586692
569,¨ı,¶Õ,09,404,791267,78.66603172
570,•¨,§y,05,403,791670,78.70609710
571,æA,∆÷,15,403,792073,78.74616247
572,∑Ω,§Ù,13,402,792475,78.78612843
573,ºh,§r,15,399,792874,78.82579614
574,§…,§Q,04,398,793272,78.86536443
575,µ|,•›,12,396,793668,78.90473388
576,øn,•›,16,396,794064,78.94410333
577,¿ª,§‚,17,395,794459,78.98337337
578,¶∫,§Ô,06,394,794853,79.02254398
579,®¨,®¨,07,394,795247,79.06171460
580,©‘,§‚,08,393,795640,79.10078580
581,ø§,¶Õ,16,393,796033,79.13985700
582,¬_,§Á,18,393,796426,79.17892820
583,Ø¿,¶Õ,10,392,796818,79.21789998
584,¿u,§H,17,391,797209,79.25677234
585,º“,§Ï,15,389,797598,79.29544587
586,√‰,∆÷,19,389,797987,79.33411940
587,∞˜,§i,11,387,798374,79.37259409
588,•v,§f,05,385,798759,79.41086995
