
!	！
#	＃
$	＄
,1	狒
,1	秭
,1	舺
,1x	彳
,1x	氘
,1x	氚
,1x	丳
,1x	帠
,1x	斪
,1x	氠
,1x	矧
,1x	觓
,1x	狾
,1x	狶
,1x	舺
,1x	幋
,1x	獑
,1x	鬿
,1x	魻
,1x	艜
,1x	穧
,1x	鯞
,1x	艩
,1x	鰤
,1x	玂
,1x	鱐
,1x	鱭
,2	輩
,2	鰱
,2x	轝
,2x	鼲
,3	系
,3	繁
,3	舷
,3	鯀
,3	猻
,3x	猻
,3x	縏
,3x	繇
,4	詹
,4	譽
,4vo	無論如何
,4x	狺
,4x	譥
,4x	讆
,5	順
,5	負
,5	須
,5	質
,5	費
,5	贊
,5	貿
,5	積
,5	牘
,5	頹
,5	狽
,5	頫
,5	犢
,5	獺
,5x	頎
,5x	頠
,5x	頧
,5x	頯
,5x	顊
,5x	穨
,5x	鼰
,5x	贕
,5x	鰿
,5x	軉
,8	與
,8	興
,8	兵
,8	輿
,8	黌
,8	颶
,8	獷
,8	夤
,8x	狖
,8x	犋
,8x	舼
,8x	貁
,8x	稘
,8x	獚
,8x	稹
,8x	穔
,8x	魌
,8x	鯕
,8x	穬
,8x	鱮
,9	印
,9	卸
,9	邱
,9	鄒
,9	御
,9	卿
,9	郵
,9	卯
,9	卵
,9	聳
,9	卹
,9	邸
,9	鄔
,9	鄱
,9	鯽
,9x	卬
,9x	邾
,9x	郇
,9x	郋
,9x	郛
,9x	郜
,9x	郳
,9x	郫
,9x	衈
,9x	鄅
,9x	鄔
,9x	鄋
,9x	鄎
,9x	鄡
,9x	鄛
,9x	鄦
,9x	鄮
,9x	酁
,9x	酇
,;	得
,;	特
,;	待
,;	射
,;	爵
,;	狩
,;	鮒
,;	鱒
,;	鱘
,;x	猼
,;x	鮒
,;x	鼭
,;x	鰣
,;x	皭
,;x	穱
,;x	鱄
,;x	鱒
,;x	鱘
,=	每
,=x	牳
,=x	猲
,=x	獦
,=x	齃
,[	很
,[	製
,[	狠
,[	狼
,[	矩
,[	裴
,[	軀
,[	猿
,[	猥
,[	飧
,[	裊
,[	穠
,[	鼴
,[,,	很多
,[x	秬
,[x	稂
,[x	獧
,[x	褩
,[x	躽
,[x	餥
,[x	貙
,[x	忀
,[x	獽
,[x	鰋
,[x	穰
,[x	鱞
,[x	齈
,[x	齉
,]	稻
,]	舀
,]	臼
,]	鱈
,]x	臿
,]x	鱈
,``	ㄝ
,a	白
,a	香
,a	智
,a	昏
,a	魯
,a	稽
,a	鰭
,a	舶
,a	猖
,a	貊
,a	鯧
,a3	烏日鄉
,a3	名間鄉
,ae'	香港
,ax	昋
,ax	曶
,ax	昝
,ax	稓
,ax	皛
,ax	觰
,ax	氆
,ax	獪
,ax	徻
,ax	濌
,ax	矰
,ax	艚
,ax	鮨
,ax	氌
,ax	穭
,ax	鰆
,ax	鰼
,ax	鰽
,ax	鱠
,ax	鱨
,b	學
,b	行
,b	劉
,b	術
,b	街
,b	向
,b	利
,b	制
,b	衡
,b	喬
,b	衛
,b	爭
,b	身
,b	稱
,b	猜
,b	角
,b	剩
,b	季
,b	稍
,b	禹
,b	舟
,b	衝
,b	衍
,b	刊
,b	刮
,b	銜
,b	稿
,b	乎
,b	刎
,b	剝
,b	刨
,b	徜
,b	猾
,b	稠
,b	躺
,b	矯
,b	孚
,b	豺
,b	猙
,b	犄
,b	剿
,b	衙
,b	孵
,b	犒
,b	獰
,b	鮪
,b	鯖
,b	鯛
,b	衢
,b	氰
,b	衖
,b	觭
,b	犡
,b3	卑南鄉
,bx	劓
,bx	狷
,bx	魑
,bx	魍
,bx	魎
,bx	刉
,bx	甪
,bx	犽
,bx	豸
,bx	氝
,bx	狪
,bx	狦
,bx	甮
,bx	衎
,bx	剕
,bx	牸
,bx	猁
,bx	徛
,bx	徟
,bx	猗
,bx	猘
,bx	猏
,bx	舑
,bx	舸
,bx	衒
,bx	觕
,bx	豽
,bx	氰
,bx	犉
,bx	犅
,bx	猢
,bx	猧
,bx	猵
,bx	稃
,bx	衖
,bx	衕
,bx	牏
,bx	稕
,bx	稐
,bx	艄
,bx	艀
,bx	颬
,bx	犕
,bx	稰
,bx	稨
,bx	獝
,bx	獢
,bx	皜
,bx	艑
,bx	衚
,bx	觭
,bx	颲
,bx	魶
,bx	犞
,bx	貒
,bx	貐
,bx	馞
,bx	魺
,bx	獳
,bx	獮
,bx	穚
,bx	罅
,bx	魈
,bx	鮞
,bx	鮦
,bx	鯆
,bx	鯓
,bx	鮹
,bx	劖
,bx	犡
,bx	鯙
,bx	鯚
,bx	獼
,bx	觷
,bx	鰅
,bx	鰗
,bx	劗
,bx	鰝
,bx	鼱
,bx	劙
,bx	鱊
,bx	鱎
,bx	黐
,bx	觿
,bx	鱱
,d	徐
,d	朱
,d	氣
,d	禾
,d	朵
,d	乘
,d	秉
,d	巢
,d	采
,d	彙
,d	牒
,d	梨
,d	躲
,d	耒
,d	釆
,d	魅
,d	梟
,d	桀
,d	缽
,d	皋
,d	秣
,d	臬
,d	徠
,d	猓
,d	稞
,d	槃
,d	穌
,d3	秀林鄉
,dc	鳳林鎮
,dx	狳
,dx	秝
,dx	棐
,dx	猱
,dx	稌
,dx	獉
,dx	艅
,dx	貅
,dx	觫
,dx	皞
,dx	艓
,dx	橆
,dx	鮇
,dx	鮢
,dx	鮽
,dx	瀪
,dx	鯠
,dx	皪
,dx	鰈
,dx	鰇
,dx	觻
,dx	鰷
,dx	鰶
,dx	鱢
,dx	鱳
,e	泉
,e	黎
,e	氯
,e	黍
,e	毬
,e	鰥
,e3	秀水鄉
,e3	魚池鄉
,e3	白沙鄉
,e[	小港區
,ec	白河鎮
,ex	彔
,ex	觩
,ex	觨
,ex	澩
,ex	鯄
,ex	犦
,ex	忁
,ex	齂
,ex	鸔
,ex	灥
,f	無
,f	然
,f	秋
,f	勳
,f	魚
,f	煞
,f	災
,f	灸
,f	氮
,f	狄
,f	炙
,f	毯
,f	燄
,f	鰍
,f	鱟
,f	爨
,f	熏
,f	黧
,f4b	無論
,fx	炰
,fx	缹
,fx	熏
,fx	舕
,fx	熧
,fx	燢
,fx	獯
,fx	穛
,fx	爂
,fx	犥
,fx	鯬
,fx	皫
,fx	穮
,fx	黧
,fx	觾
,g	程
,g	重
,g	生
,g	往
,g	種
,g	皇
,g	垂
,g	狂
,g	徨
,g	猩
,g	艇
,g	壬
,g	牡
,g	牲
,g	狸
,g	貍
,g	墾
,g	鮭
,g	鯉
,g	鰹
,g3	外埔鄉
,gmv	重要
,gx	狅
,gx	狌
,gx	垼
,gx	牷
,gx	狴
,gx	甡
,gx	秷
,gx	矬
,gx	稑
,gx	觟
,gx	獞
,gx	艎
,gx	壆
,gx	犝
,gx	穜
,gx	艟
,gx	鼪
,gx	鯥
,gx	璺
,gx	鰉
,gx	鼮
,gx	鰹
,h	街
,i	我
,i	氏
,i	犧
,i	穢
,i	舐
,i	氐
,i	毧
,ix	狘
,ix	狨
,ix	秖
,ix	毧
,ix	牋
,ix	皒
,ix	稢
,ix	魆
,ix	獩
,ix	穖
,ix	魊
,ix	艤
,ix	鰔
,ix	衊
,ix	魕
,ix	鸃
,ix	鱴
,ix	鱵
,j	年
,j	千
,j	午
,j	科
,j	牌
,j	律
,j	解
,j	舜
,j	舉
,j	釋
,j	辭
,j	舞
,j	牛
,j	魁
,j	秤
,j	氧
,j	拜
,j	鮮
,j	舛
,j	卑
,j	阜
,j	徉
,j	斛
,j	犁
,j	稈
,j	毽
,j	獐
,j	鼾
,j	罈
,j	鱗
,j	皋
,j	猝
,j	犍
,j	稗
,j	鱆
,j3	烏來鄉
,jqx	科技
,jx	犴
,jx	夆
,jx	皁
,jx	牪
,jx	豻
,jx	猝
,jx	猈
,jx	徫
,jx	斞
,jx	舽
,jx	犍
,jx	犐
,jx	稗
,jx	艂
,jx	貄
,jx	睾
,jx	稦
,jx	徲
,jx	貏
,jx	獬
,jx	觲
,jx	觶
,jx	貚
,jx	鞶
,jx	鰎
,jx	犩
,jx	鱆
,k	失
,k	尖
,k	狹
,k	缺
,k	秩
,k	奧
,k	矢
,k	臭
,k	猴
,k	夭
,k	獄
,k	秧
,k	奐
,k	奚
,kx	矨
,kx	瓞
,kx	奜
,kx	觖
,kx	猰
,kx	徯
,kx	犑
,kx	氁
,kx	獛
,kx	貕
,kx	鼣
,kx	貘
,kx	鯸
,kx	鼵
,kx	鼳
,kx	鼷
,l	蟹
,l	蠡
,l	种
,l	螽
,lx	狆
,lx	种
,lx	舯
,lx	蚕
,lx	蛗
,lx	触
,lx	蝵
,lx	螽
,lx	蠫
,lx	瓥
,lx	蠽
,m	血
,m	非
,m	盤
,m	靠
,m	艦
,m	徑
,m	征
,m	租
,m	乍
,m	臼
,m	猛
,m	稻
,m	氫
,m	丘
,m	舀
,m	徘
,m	缽
,m	氬
,m	艋
,m	盥
,m	鱷
,m	缸
,m	鱸
,m	狙
,m	氐
,m	牴
,m	皋
,m	氳
,m3	尖石鄉
,m3	獅潭鄉
,m3	和平鄉
,mx	狃
,mx	徂
,mx	彽
,mx	狉
,mx	狚
,mx	狟
,mx	舡
,mx	盉
,mx	秠
,mx	秪
,mx	衄
,mx	牼
,mx	狿
,mx	舴
,mx	犆
,mx	觝
,mx	觛
,mx	盝
,mx	稙
,mx	貆
,mx	魟
,mx	魱
,mx	艖
,mx	艗
,mx	魾
,mx	鮓
,mx	馡
,mx	馧
,mx	鯡
,mx	舋
,mx	罏
,mx	艫
,mx	鱋
,mx	鱣
,mx	齇
,n	的
,n	秀
,n	動
,n	物
,n	夠
,n	勳
,n	勉
,n	勿
,n	句
,n	勻
,n	島
,n	為
,n	獨
,n	翻
,n	狗
,n	觸
,n	翡
,n	劣
,n	芻
,n	豹
,n	躬
,n	氛
,n	粵
,n	匆
,n	旬
,n	烏
,n	徬
,n	舅
,n	勺
,n	匈
,n	彷
,n	彿
,n	甥
,n	氖
,n	劬
,n	氟
,n	舫
,n	勦
,n	觴
,n	颺
,n	釁
,n	勾
,n	甸
,n	翱
,n	匍
,n	徇
,n	觔
,n	匐
,n	狒
,nom	動作
,nx	勼
,nx	彴
,nx	牞
,nx	劮
,nx	匉
,nx	牣
,nx	豸
,nx	匊
,nx	匋
,nx	狒
,nx	瓝
,nx	舠
,nx	勂
,nx	牬
,nx	秎
,nx	訇
,nx	匎
,nx	秭
,nx	匒
,nx	匑
,nx	稊
,nx	翗
,nx	舄
,nx	舿
,nx	魛
,nx	勫
,nx	犓
,nx	魡
,nx	獡
,nx	駌
,nx	魴
,nx	魵
,nx	艕
,nx	鮈
,nx	斶
,nx	鼢
,nx	鼩
,nx	艣
,nx	軂
,nx	齁
,nx	鰨
,nx	鰳
,o	從
,o	欣
,o	欠
,o	久
,o	眾
,o	徒
,o	徙
,o	氦
,o	獗
,o	歟
,o	臾
,o	鱖
,o	歃
,o3	歸仁鄉
,ox	欨
,ox	徥
,ox	欿
,ox	臮
,ox	歃
,ox	歍
,ox	歋
,ox	獫
,ox	疀
,ox	鯷
,ox	躗
,p	德
,p	息
,p	悲
,p	秘
,p	懇
,p	穩
,p	急
,p	怎
,p	忽
,p	悉
,p	怨
,p	愁
,p	懲
,p	穗
,p	忝
,p	愆
,p	稔
,p	慇
,p	慫
,p	憩
,p	鰓
,p	鯰
,px	忥
,px	悐
,px	毸
,px	馝
,px	鮅
,px	鯰
,q	掣
,qx	揫
,qx	搫
,r	和
,r	名
,r	各
,r	告
,r	知
,r	皓
,r	船
,r	吞
,r	后
,r	舌
,r	颱
,r	颳
,r	艙
,r	咎
,r	黏
,r	鱔
,r	牯
,r	磐
,r	貂
,r	貉
,r	谿
,r	鼯
,r3	番路鄉
,rx	狜
,rx	狤
,rx	秮
,rx	啎
,rx	牾
,rx	牿
,rx	猞
,rx	秸
,rx	毰
,rx	缿
,rx	獊
,rx	觡
,rx	犗
,rx	颭
,rx	鮐
,rx	鮕
,rx	鮚
,rx	鮥
,rx	鮯
,rx	礐
,rx	鯃
,rx	鮶
,rx	鼫
,rx	礜
,rx	鯦
,rx	嚳
,rx	鰫
,s3	後壁鄉
,t	短
,t	升
,t	甜
,t	鼻
,t	彝
,t	皚
,t	彞
,tc	和美鎮
,tx	舁
,tx	皏
,tx	缾
,tx	豋
,tx	魽
,tx	魖
,tx	鱧
,u	岳
,u	舢
,u	秈
,u	嵇
,u	缶
,u	氙
,u3	龜山鄉
,u3	冬山鄉
,ux	氙
,ux	峊
,ux	峱
,ux	貀
,ux	徭
,ux	猺
,ux	嶨
,ux	嶴
,ux	鰩
,ux	馫
,uy	鳳山市
,v	妥
,v	委
,v	矮
,v	氨
,vx	妴
,vx	婓
,vx	媝
,vx	媻
,vx	嬃
,vx	艛
,vx	貗
,vx	鯜
,w	自
,w	看
,w	省
,w	留
,w	番
,w	循
,w	猶
,w	貓
,w	徊
,w	盾
,w	釉
,w	囪
,w	氤
,w	穡
,w	鼬
,w	皤
,w3	后里鄉
,wc	學甲鎮
,wx	囟
,wx	甾
,wx	徆
,wx	牰
,wx	毢
,wx	氥
,wx	眚
,wx	眢
,wx	秞
,wx	舳
,wx	稒
,wx	稛
,wx	稫
,wx	艏
,wx	艒
,wx	鮂
,wx	皤
,wx	艡
,wx	鯔
,wx	鰡
,wx	鱕
,x	愛
,x	復
,x	敏
,x	徹
,x	啟
,x	般
,x	段
,x	後
,x	受
,x	版
,x	反
,x	微
,x	徵
,x	徽
,x	殷
,x	馥
,x	毀
,x	獲
,x	穫
,x	役
,x	彼
,x	牧
,x	稜
,x	皺
,x	艘
,x	斐
,x	黴
,x	鰻
,x	爰
,x	狡
,x	皈
,x	叟
,x	舨
,x	皎
,x	稷
,x	颼
,x	鮫
,x	觼
,x	鯁
,x,j	後年
,xmk	後天
,xx	彶
,xx	复
,xx	狻
,xx	觙
,xx	徦
,xx	猳
,xx	猣
,xx	稄
,xx	犌
,xx	獀
,xx	徶
,xx	獌
,xx	稯
,xx	鬾
,xx	敻
,xx	獙
,xx	艐
,xx	魃
,xx	魰
,xx	魬
,xx	徼
,xx	敿
,xx	毈
,xx	毇
,xx	獥
,xx	貑
,xx	徾
,xx	鼤
,xx	獶
,xx	皦
,xx	鯁
,xx	鼥
,xx	矱
,xx	鯪
,xx	鯫
,xx	鰒
,xx	鰬
,xx	獿
,xx	鰴
,xx	玁
,xx	玃
,xx	鱍
,xx	艭
,xx	犪
,xx	貜
,y	小
,y	外
,y	夕
,y	冬
,y	禦
,y	祭
,y	斥
,y	鯨
,y	忝
,y	乓
,y	卵
,y	舔
,y	毚
,y	鰾
,y	氡
,yc	後龍鎮
,yvm	小姐
,yx	犿
,yx	彾
,yx	狋
,yx	狑
,yx	氡
,yx	皊
,yx	衃
,yx	徖
,yx	舲
,yx	獂
,yx	獠
,yx	穄
,yx	鮛
,yx	鼨
,yx	馦
,yx	魒
,yx	鰜
,yx	鼸
,z	鰱
,z	犍
-	－
-	几
-	儿
-,	夙
-,x	飂
--	覜
-0	鳳
-5	頫
-6	百
-7	佰
-8	颶
-`	－
-``	ㄦ
-b	剁
-d	朵
-dc	鳳林鎮
-g	凰
-h	號
-l	風
-lx	颾
-n	颺
-px	颸
-px	飋
-r	颱
-r	颳
-uy	鳳山市
-wx	飀
-x	颼
-xx	殳
-y	凡
-yx	飉
.	。
.'	也
.'	乙
.'	孔
.'	疏
.'	皰
.'	孢
.'	乜
.'x	乜
.'x	孢
.'x	巹
.'x	氄
.-	疏
.-	凳
..	承
..	孤
..	矜
..	豫
...	…
.0	鶩
.0	鷸
.0x	鶔
.0x	鶩
.0x	鷸
.1	函
.1	鼐
.1x	鼐
.3	孫
.5	預
.5	頗
.5x	顄
.9	鄧
.9x	鄈
.`	．
.``	ㄡ
.ax	矠
.b	了
.b	子
.b	孑
.b	孓
.b	予
.b	孕
.b	矛
.b	胥
.b	甬
.b	孺
.bx	孖
.bx	脀
.bx	矞
.bx	劀
.cx	鍪
.d	柔
.dx	楘
.ex	氶
.fx	烝
.gx	堥
.ix	戣
.ix	戤
.jx	鞪
.k	癸
.l	蛋
.lx	蜑
.lx	蝥
.lx	蟊
.m	孟
.m	盈
.m	丞
.m	函
.m	丑
.m	亟
.mx	孲
.mx	孻
.n	乃
.n	勇
.n	務
.n	騖
.nx	夃
.o	疋
.o	孩
.p	恿
.px	愻
.t	登
.t	彝
.t	彞
.vx	婺
.wx	瞀
.x	及
.x	發
.x	皮
.x	叉
.x	孜
.xx	癹
.ya4	也就是說
.yx	尕
.yx	孮
/	／
/'	能
/',n	能夠
/'x	瓵
/'x	毿
/,	參
/-	允
//	兙
//	兛
//	兞
//	兝
//	兡
//	兣
//	嗧
//	瓩
//	糎
/0x	鴘
/0x	鴾
/1'	台北縣
/17	台北縣
/1w	台北縣
/1y	台北市
/2x	軬
/3x	絫
/5x	貵
/9	邰
/9x	邰
/``	ㄥ
/bx	剼
/cc	㏄
/ccn	台灣
/cm	㎝
/d'	台東縣
/d7	台東縣
/dw	台東縣
/dx	枲
/dy	台東市
/e,	台灣省
/f	熊
/fx	炱
/j	牟
/j'	台南縣
/j'	台東縣
/j7	台南縣
/j7	台東縣
/jw	台南縣
/jw	台東縣
/jy	台南市
/jy	台東市
/k	矣
/kg	㎏
/km	㎞
/km	㏎
/l'	台中縣
/l7	台中縣
/ln	㏑
/log	㏒
/lw	台中縣
/lx	螚
/ly	台中市
/m'	台北縣
/m2	㎡
/m3	台西鄉
/m7	台北縣
/mg	㎎
/mil	㏕
/mm	㎜
/mw	台北縣
/my	台北市
/o	°
/o	欸
/oc	℃
/of	℉
/ox	欸
/p	態
/p	怠
/r	台
/r1'	台北
/rdw	台東
/rjb	台南
/rjd	台東
/rl	台中
/rm'	台北
/t	弁
/w	畚
/x	皴
0	鳥
0	隹
0'	鴕
0'x	鳦
0-x	鳧
0-x	鷈
00	讎
00c	集集鎮
00x	雔
00x	鵻
00x	讎
00x	鷦
00x	雥
01x	鶳
06	○
07	零
08x	鴥
08x	鶀
0`	０
0``	ㄢ
0bx	劁
0d	集
0d3	鳥松鄉
0dx	鵌
0e3	雙溪鄉
0f	焦
0j	隼
0jx	隼
0jx	犨
0k	鴃
0n	雋
0nx	鷌
0r	售
0tx	鵿
0w[	雙園區
0x	雙
0x	隻
0xx	鵔
0xx	鷻
1	我
1'	此
1'	比
1'	北
1'	片
1'	曳
1'	匕
1'	艷
1'	齜
1',y	此外
1'x	帊
1'x	氀
1'x	齔
1'x	齕
1'x	齛
1'x	齙
1'x	齥
1,	步
1,x	幓
1,x	齴
1-	帆
1-	幌
1-	兕
1-	鬩
1-x	帎
1-x	帨
1-x	齯
1.	片
1.x	幏
1.x	幪
10	雌
10	鴦
10	帷
10x	鷜
11	片
11	申
11	齒
11	幽
11	鼎
11	巾
11	肅
11	豳
11x	齗
11x	齘
12	輩
13	紫
13	縣
14	訾
14x	幨
15	頻
15	幀
15	貲
15	牘
15x	幁
15x	幊
15x	幘
15x	幩
15x	顪
16	一
17	壹
18	典
18	冀
18	鬨
18x	幎
18x	齞
18x	齻
19	邶
19	齡
19x	鄁
19x	幯
1;x	歭
1;x	幬
1[	北區
1[	農
1[	帳
1[	裴
1[	齦
1[x	飺
1]x	幍
1`	１
1``	ㄅ
1a	書
1a	由
1a	帕
1a	皆
1a3	北門鄉
1ax	帾
1ax	齰
1b	肯
1b	背
1b	鬥
1b	鬧
1b	鬨
1b	鬩
1b	巾
1b	冑
1b	冉
1b	劃
1b	齲
1b	牖
1b	胄
1bx	帄
1bx	胔
1bx	觜
1bx	劌
1bx	歶
1bx	齖
1bx	齮
1bx	齵
1cx	鈭
1d	柴
1d	槳
1dx	朄
1dx	幧
1e	漿
1ec	北港鎮
1fx	幠
1fx	鮆
1g	齷
1g	壯
1g	幢
1g	幄
1g3	北埔鄉
1gx	幄
1i	歲
1i	幟
1i	曳
1i	臧
1ix	帴
1ix	幭
1j	牌
1j	顰
1j	聿
1j	幛
1j	幃
1j[	北屯區
1jc	北斗鎮
1jx	牉
1jx	幝
1k	獎
1k	帙
1k	央
1kx	帙
1kx	幙
1lx	蜚
1m	止
1m	非
1m	些
1m	晝
1m	畫
1m	盡
1m	凹
1m	凸
1m	盎
1m	韭
1m	齟
1mx	幍
1mx	齸
1n	暢
1n	翡
1n	齣
1nx	甹
1nx	牓
1nx	翽
1nx	齶
1nx	齺
1o	以
1o.x	以及
1ox	齪
1oyn	以為
1p	悲
1px	幰
1q[	北投區
1r	齬
1r	帖
1r	砦
1rx	呰
1rx	帢
1rx	牊
1rx	砦
1rx	齠
1rx	齝
1t	豐
1tx	帡
1v	婁
1w	由
1w	曲
1w	牆
1w	醬
1w	幅
1w	帽
1w	幗
1w	幡
1wx	眥
1wx	齫
1wyy	由於
1x	收
1x	數
1x	版
1x	斐
1x	史
1x	歧
1xx	帗
1xx	帔
1xx	齱
1y	齡
1yx	祡
1yx	幜
2	車
2'	軌
2'	輒
2'	軋
2'	軛
2'	輥
2'x	軘
2'x	軞
2'x	軶
2'x	轆
2,x	軫
2,x	轇
2-	輓
2-	軏
2-x	軓
2-x	軦
2-x	輐
2-x	輗
2.x	軡
2.x	軱
21	斬
22	轟
22x	轋
23	繫
25x	轒
26	二
27	貳
28x	軹
28x	輁
29	輯
2;	轉
2;x	軵
2;x	轛
2=x	輵
2=x	轕
2[	輾
2[	轅
2[x	轘
2`	２
2``	ㄉ
2a	暫
2b	輸
2b	輪
2b	輛
2b	輔
2b	轎
2b	輞
2b	軻
2bx	軜
2bx	輀
2bx	輈
2bx	輎
2bx	輤
2bx	輣
2bx	輖
2bx	輲
2bx	轏
2c	鏨
2cx	鑋
2dx	槧
2dx	輠
2dx	輮
2dx	檕
2dx	轃
2dx	轈
2dx	轢
2g	塹
2g	輊
2gx	軠
2gx	軴
2gx	輇
2i	軾
2ix	軝
2ix	輚
2ix	轙
2j	軒
2j	轔
2jx	軯
2k	軼
2k	輳
2kx	軑
2kx	軮
2kx	轐
2lx	蟿
2m	輕
2mx	軧
2mx	轀
2mx	轞
2mx	轤
2mx	轣
2n	軔
2nx	軥
2nx	輷
2o	軟
2ox	輆
2ox	蹔
2px	轗
2q	擊
2r	轄
2rx	軺
2rx	軩
2rx	輅
2rx	輑
2rx	輍
2rx	磛
2s4z	軒尼詩道
2tx	軿
2ux	罊
2w	軸
2w	輻
2w	輜
2wx	輶
2wx	輴
2wx	轓
2wx	轖
2wx	轠
2x	較
2x	輟
2x	轍
2xx	軗
2xx	軷
2xx	輘
2xx	輹
2yx	軨
2yx	輬
2yx	轑
3	糸
3'	繼
3'	絕
3'	紀
3'	純
3'	繩
3'	紇
3'	紕
3'	紲
3'	紈
3'	綣
3'x	紈
3'x	紽
3'x	絁
3'x	絏
3'x	綣
3'x	緄
3'x	綩
3'x	纚
3,	紗
3,	緲
3,	繆
3,	縿
3,3	綠島鄉
3,x	紾
